Date,Open,High,Low,Close,Adj Close,Volume
2018-12-01,8.100000,8.130000,5.840000,6.370000,6.370000,237893600
2019-01-01,6.130000,7.890000,6.000000,7.880000,7.880000,225525500
2019-02-01,7.850000,10.640000,7.140000,9.570000,9.570000,485265300
2019-03-01,9.820000,10.630000,4.900000,5.100000,5.100000,993925900
2019-04-01,5.290000,5.610000,4.430000,4.850000,4.850000,529555100
2019-05-01,4.840000,5.110000,3.000000,3.050000,3.050000,621841300
2019-06-01,2.980000,3.110000,2.350000,2.550000,2.550000,679479000
2019-07-01,2.670000,4.000000,2.570000,3.470000,3.470000,745053300
2019-08-01,3.450000,3.510000,2.770000,2.860000,2.860000,393773300
2019-09-01,2.820000,3.330000,1.530000,1.560000,1.560000,580600400
2019-10-01,1.510000,1.800000,1.190000,1.450000,1.450000,790798300
2019-11-01,1.490000,2.500000,1.490000,2.270000,2.270000,962006600
2019-12-01,2.350000,4.870000,2.110000,4.020000,4.020000,1331008700
2020-01-01,4.100000,5.650000,3.130000,3.780000,3.780000,2028239900
2020-02-01,3.540000,5.190000,3.520000,4.130000,4.130000,1433993600
2020-03-01,4.150000,4.210000,2.110000,2.780000,2.780000,1047100600
2020-04-01,2.630000,3.980000,2.220000,3.410000,3.410000,688996000
2020-05-01,3.300000,4.200000,3.080000,3.980000,3.980000,702947200
2020-06-01,4.000000,7.900000,3.960000,7.720000,7.720000,2098001100
2020-07-01,7.790000,16.440001,7.670000,11.940000,11.940000,4249672700
2020-08-01,12.530000,20.969999,12.460000,19.030001,19.030001,2527045800
2020-09-01,19.450001,22.590000,15.610000,21.219999,21.219999,1958120700
2020-10-01,21.680000,22.450001,20.600000,21.469999,21.469999,480036200
2020-10-09,21.620001,21.740000,21.320000,21.469999,21.469999,36672844
